Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,day_of_journey,month_of_journey,count_journey_days,dep_day_part,arrival_day_part,check-in baggage included,In-flight meal,Change airports,Business class,layover,stop_points, AMD , ATQ , BBI , BDQ , BHO , BLR , BOM , CCU , COK , DED , DEL , GAU , GOI , GWL , HBX , HYD , IDR , IMF , ISK , IXA , IXB , IXC , IXR , IXU , IXZ , JAI , JDH , JLR , KNU , LKO , MAA , NAG , NDC , PAT , PNQ , RPR , STV , TRV , UDR , VGA , VNS , VTZ 
Air India,2019-05-01,Kolkata,Banglore,05:50,13:15,7.42,2,7662,1,5,0.0,early morning,afternoon,1,1,0,0,0,"[' IXR ', ' BBI ']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-06-09,Delhi,Cochin,09:25,04:25,19.0,2,13882,9,6,1.0,morning,mid night,1,1,0,0,0,"[' LKO ', ' BOM ']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-05-12,Kolkata,Banglore,18:05,23:30,5.42,1,6218,12,5,0.0,evening,night,1,1,0,0,0,[' NAG '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IndiGo,2019-03-01,Banglore,New Delhi,16:50,21:35,4.75,1,13302,1,3,0.0,afternoon,evening,1,1,0,0,0,[' NAG '],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SpiceJet,2019-06-24,Kolkata,Banglore,09:00,11:25,2.42,0,3873,24,6,0.0,morning,morning,1,1,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-12,Banglore,New Delhi,18:55,10:25,15.5,1,11087,12,3,1.0,evening,morning,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-01,Banglore,New Delhi,08:00,05:05,21.08,1,22270,1,3,1.0,morning,early morning,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Airways,2019-03-12,Banglore,New Delhi,08:55,10:25,25.5,1,11087,12,3,1.0,morning,morning,1,0,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple carriers,2019-05-27,Delhi,Cochin,11:25,19:15,7.83,1,8625,27,5,0.0,morning,evening,1,1,0,0,0,[' BOM '],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air India,2019-06-01,Delhi,Cochin,09:45,23:00,13.25,1,8907,1,6,0.0,morning,night,1,1,0,0,0,[' BLR '],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
